INSERT INTO fat_alocacao VALUES (1, 1, 1, 1, 1, '2014.2', 25, 7.87);
INSERT INTO fat_alocacao VALUES (2, 2, 1, 1, 2, '2014.2', 30, 8.55);
INSERT INTO fat_alocacao VALUES (3, 3, 1, 1, 3, '2014.2', 35, 7.40);
INSERT INTO fat_alocacao VALUES (3, 3, 1, 2, 4, '2014.2', 47, 6.45);
INSERT INTO fat_alocacao VALUES (4, 4, 1, 1, 5, '2014.2', 48, 5.43);
INSERT INTO fat_alocacao VALUES (5, 5, 1, 1, 6, '2014.2', 22, 8.22);
INSERT INTO fat_alocacao VALUES (6, 6, 1, 1, 7, '2014.2', 31, 9.01);
INSERT INTO fat_alocacao VALUES (6, 7, 1, 2, 8, '2014.2', 24, 7.45);
INSERT INTO fat_alocacao VALUES (6, 8, 1, 3, 9, '2014.2', 25, 4.22);
INSERT INTO fat_alocacao VALUES (6, 8, 1, 4, 10, '2014.2', 25, 7.43);
INSERT INTO fat_alocacao VALUES (7, 9, 1, 1, 5, '2014.2', 50, 5.49);
INSERT INTO fat_alocacao VALUES (8, 14, 1, 1, 11, '2014.2', 40, 6.33);
INSERT INTO fat_alocacao VALUES (9, 19, 1, 1, 9, '2014.2', 44, 7.01);
INSERT INTO fat_alocacao VALUES (10, 4, 2, 1, 5, '2014.2', 21, 7.87);
INSERT INTO fat_alocacao VALUES (11, 14, 2, 1, 11, '2014.2', 10, 4.77);
INSERT INTO fat_alocacao VALUES (12, 22, 1, 1, 3, '2014.2', 11, 5.89);
INSERT INTO fat_alocacao VALUES (13, 16, 1, 1, 1, '2014.2', 15, 6.78);
INSERT INTO fat_alocacao VALUES (13, 15, 1, 2, 2, '2014.2', 47, 6.77);
INSERT INTO fat_alocacao VALUES (13, 20, 1, 3, 7, '2014.2', 36, 8.01);
INSERT INTO fat_alocacao VALUES (14, 2, 1, 1, 1, '2014.2', 39, 7.33);
INSERT INTO fat_alocacao VALUES (15, 12, 1, 1, 8, '2014.2', 41, 8.02);
INSERT INTO fat_alocacao VALUES (16, 23, 1, 1, 5, '2014.2', 54, 8.33);
INSERT INTO fat_alocacao VALUES (17, 10, 1, 1, 6, '2014.2', 15, 7.28);
INSERT INTO fat_alocacao VALUES (18, 17, 2, 1, 3, '2014.2', 22, 6.98);
INSERT INTO fat_alocacao VALUES (1, 2, 1, 1, 5, '2015.2', 34, 4.99);
INSERT INTO fat_alocacao VALUES (18, 17, 2, 1, 7, '2015.2', 12, 8.76);
INSERT INTO fat_alocacao VALUES (5, 5, 1, 1, 3, '2015.2', 50, 6.62);
INSERT INTO fat_alocacao VALUES (18, 12, 2, 1, 11, '2018.1', 14, 8.32);
INSERT INTO fat_alocacao VALUES (76, 13, 2, 1, 11, '2018.1', 17, 7.60);
INSERT INTO fat_alocacao VALUES (77, 17, 2, 1, 11, '2018.1', 20, 6.89);
INSERT INTO fat_alocacao VALUES (44, 3, 2, 1, 5, '2018.1', 11, 8.61);
INSERT INTO fat_alocacao VALUES (45, 5, 2, 1, 44, '2018.1', 23, 9.20);
INSERT INTO fat_alocacao VALUES (48, 11, 2, 1, 41, '2018.1', 10, 8.76);
INSERT INTO fat_alocacao VALUES (46, 23, 2, 1, 5, '2018.1', 18, 7.98);
INSERT INTO fat_alocacao VALUES (75, 35, 2, 1, 42, '2018.1', 13, 6.59);
INSERT INTO fat_alocacao VALUES (31, 38, 1, 1, 5, '2018.1', 36, 7.33);
INSERT INTO fat_alocacao VALUES (49, 17, 1, 1, 12, '2018.1', 29, 8.02);
INSERT INTO fat_alocacao VALUES (13, 16, 1, 1, 13, '2018.1', 37, 8.61);
INSERT INTO fat_alocacao VALUES (13, 15, 1, 2, 14, '2018.1', 20, 9.20);
INSERT INTO fat_alocacao VALUES (13, 20, 1, 3, 15, '2018.1', 18, 8.76);
INSERT INTO fat_alocacao VALUES (15, 12, 1, 1, 22, '2018.1', 45, 4.99);
INSERT INTO fat_alocacao VALUES (4, 11, 1, 2, 6, '2018.1', 27, 8.76);
INSERT INTO fat_alocacao VALUES (14, 35, 1, 1, 20, '2018.1', 43, 6.23);
INSERT INTO fat_alocacao VALUES (3, 3, 1, 1, 11, '2018.1', 32, 7.54);
INSERT INTO fat_alocacao VALUES (40, 13, 1, 1, 12, '2018.1', 36, 8.59);
INSERT INTO fat_alocacao VALUES (29, 16, 1, 1, 14, '2018.1', 20, 6.23);
INSERT INTO fat_alocacao VALUES (29, 15, 1, 2, 15, '2018.1', 20, 5.98);
INSERT INTO fat_alocacao VALUES (29, 20, 1, 3, 16, '2018.1', 19, 7.51);
INSERT INTO fat_alocacao VALUES (29, 2, 1, 4, 17, '2018.1', 17, 6.78);
